corriente_mA,voltaje_V
1.6153844,1.6173626
1.7326002,1.598022
1.69963344,1.6117216
1.76556708,1.6093041
1.85348016,1.6060805
1.857143,1.6149449
1.9120872,1.6117216
1.9706948,1.6157509
2.0073266,1.620586
2.0000008,1.6221978
2.0915746,1.6294506
2.1648352,1.6302564
2.2637368,1.6294506
2.3736262,1.6109157
2.3992672,1.6230036
2.4212446,1.6294506
2.4835164,1.6318681
2.5347986,1.6286446
2.5897426,1.6278388
2.644689,1.6270329
2.652015,1.6270329
2.7399276,1.6286446
2.7472534,1.6286446
2.831502,1.6221978
2.8571428,1.6286446
2.8608058,1.6399268
3.0219772,1.6262272
3.0805864,1.6230036
3.1025638,1.6367032
3.1684982,1.6367032
3.2051274,1.6375092
3.3223444,1.6350916
3.318681,1.6423444
3.3992676,1.6375092
3.42124568,1.6367032
3.4871796,1.6350916
3.5531124,1.6375092
3.59706836,1.6367032
3.6996332,1.6318681
3.80219736,1.6262272
3.82051268,1.6334798
3.8315008,1.6455678
3.978021,1.6375092
4.065934,1.632674
4.0549444,1.6479853
4.1428576,1.6431501
4.194139,1.6358974
4.2454204,1.6375092
4.326007,1.6455678
4.3882776,1.6463736
4.3919416,1.6479853
4.571429,1.6375092
4.534798,1.661685
4.6300364,1.649597
4.805861,1.6463736
4.7472532,1.6632966
4.835165,1.6487912
4.912088,1.660879
5.010989,1.6463736
5.0366308,1.6641026
5.1318676,1.661685
5.212454,1.6592673
5.300367,1.6576557
5.4065932,1.6600733
5.553113,1.649597
5.4945052,1.6721612
5.703297,1.6592673
5.721612,1.6592673
5.8131856,1.656044
5.9999996,1.6584616
5.897437,1.6632966
6.142857,1.6632966
6.344322,1.6544322
6.355312,1.6600733
6.509156,1.6600733
6.619048,1.661685
6.7985348,1.649597
6.728937,1.6649084
6.93040236,1.660879
7.0476184,1.6584616
7.150183,1.6624908
7.3333336,1.655238
7.179487,1.6592673
7.4358972,1.6632966
7.3882784,1.6624908
7.439561,1.6632966
7.4322344,1.6649084
7.428571,1.6657143
7.549451,1.6391208
7.41391936,1.6689377
